theta,dL,kappa
-0.8253636477322122,1.9885216978597147,-0.008647509504132497
-0.8425594080136364,1.986521862748656,-0.010613151963540835
-0.8636426664218947,1.98521518004808,-0.008665814317202692
-0.8808461725518921,1.9850877421707038,-0.0059802610983248836
-0.8927175155531631,1.985715983584862,-0.003291123508394374
-0.899252752107737,1.986722920309793,-0.0006062888626387023
-0.9004572800874705,1.9879009404075474,0.0016943144104080413
-0.8970891508776726,1.9892107596209343,0.0019556723983917843
-0.893198906300496,1.9906942808042984,0.0015340117544206042
-0.8901451578742828,1.9923422864895268,0.0011130743665478272
-0.8879275327458009,1.994139552932495,0.0006936775928929338
-0.8865442428208294,1.9960750288198876,0.0002763552206418866
-0.8859926170658219,1.9981416411559887,0.0007622154501681344
-0.8844696026353077,1.9997104879048828,0.00416426695883163
-0.8761422743232922,1.998837604557753,0.0081812427746929
-0.8597892986132114,1.9955134140819717,0.01226368625657595
-0.8353169481821091,1.9905267228305308,0.016430208621441993
-0.8026121788594318,1.985066112188764,0.021065854624759982
-0.7607950647195048,1.9799279072807516,0.02878270928562848
-0.7038073753577113,1.9721133437426792,0.03817664534571308
-0.6285187036520605,1.9648275663064942,0.04767429248082509
-0.5348469395815293,1.9661452901832293,0.05610401639430883
-0.4245382919874402,1.9836057687885456,0.06014703799330977
-0.30523028044830697,1.9961515367499076,0.06413499347442926
-0.17720711466481556,1.989026269897404,0.07139938480069441
-0.03519186264164956,1.9702755498550204,0.07994560369834022
0.12232300564366923,1.9542912753213797,0.07834740814532228
0.2754366618261941,1.9597938760039644,0.07004958639488772
0.4127194122595757,1.981099544842382,0.05657218019803338
0.5247945327006974,1.9946337550491675,0.04300975013672044
0.6105832321196736,1.9812354455208736,0.031615105233514414
0.6732201992222164,1.9660164898113006,0.019595240807689547
0.711744765771977,1.962859495132956,0.007007736324478963
0.7254999675558756,1.9665034459531432,-0.0029135472710252732
0.7197704668074542,1.9734647228596203,-0.002846561789385348
0.7141528775346592,1.9784737228456943,-0.0005344328374751556
0.7130955162090882,1.9802194077710977,0.00176019590558181
0.7165810903028023,1.9786731514230165,0.004071571420631404
0.724637399356911,1.9739292660670265,0.006433037720763619
0.7373357607836458,1.9662070122658521,0.008875806976923696
0.7547874347012002,1.9558555063628935,0.0
0.7547874347012002,1.9558555063628935,0.0
