x,y
-1530.4421139625483,105912.90396827739
-1530.4710338680889,105912.8822624404
-1530.4999537713593,105912.86055660201
-1530.5385738402838,105912.82792030415
-1530.5674937438453,105912.8062144653
-1530.5964136499679,105912.78450862877
-1530.6255141471047,105912.75171724893
-1530.6544340510154,105912.73001141101
-1530.693054123316,105912.69737511314
-1530.721974027576,105912.67566927616
-1530.7510745254112,105912.64287789632
-1530.7799944323488,105912.6211720598
-1530.808914336958,105912.59946622234
-1530.8380148351425,105912.5666748425
-1530.8764543127036,105912.54512408748
-1530.9053742177202,105912.52341825189
-1530.9344747189898,105912.49062687252
-1530.9633946242975,105912.468921036
-1530.9923145297216,105912.44721519807
-1531.021415028954,105912.41442381963
-1531.0503349370556,105912.39271798311
-1531.0887744157226,105912.37116722949
-1531.1178749154788,105912.33837585105
-1531.1467948216014,105912.31667001406
-1531.175714730285,105912.294964178
-1531.2048152304487,105912.26217279956
-1531.233735137037,105912.2404669635
-1531.2721746190218,105912.21891621035
-1531.3012751197675,105912.1861248319
-1531.3398951936979,105912.15348853637
-1531.3688151031965,105912.13178270264
-1531.397735010425,105912.11007686565
-1531.426835511811,105912.07728548814
-1531.4557554193307,105912.05557965161
-1531.484675329295,105912.03387381742
-1531.5232954043895,105912.00123752281
-1531.5522153123748,105911.97953168675
-1531.58113522036,105911.95782585116
-1531.6102357251802,105911.92503447458
-1531.6391556334565,105911.90332863992
-1531.6775951151503,105911.88177788723
-1531.7066956204944,105911.84898651065
-1531.7356155292364,105911.82728067599
-1531.764716032485,105911.79448929848
-1531.7936359414598,105911.77278346382
-1531.832075426355,105911.75123271253
-1531.8611759301275,105911.71844133595
-1531.8900958395097,105911.69673550129
-1531.9191963436315,105911.66394412564
-1531.957635829167,105911.64239337482
-1531.9867363335798,105911.60960199824
-1532.015656243544,105911.5878961645
-1532.0540957296616,105911.56634541322
-1532.0831962346565,105911.5335540371
-1532.11211614497,105911.51184820384
